Month,Centername,Ber,Kinnow,Lime,Mandarin,Mosambi,Grape_t_seedless,Guava,Litchi,Bennet,Gulabkhas,Kesar,Mango_alphanso,Mango_chausa,Mango_dushehri,Mango_langra,Mango_safeda,Mango_totapari,Parkleman,Aonla,Apple_del_jk,Apple_royal_del_hp,Papaya,Pineapple,Pomegranate,Sapota,Banana
April,Chandigarh,0,0,7300,6500,0,6500,0,0,0,0,0,0,0,0,0,5200,0,0,0,8500,0,2150,2500,7500,0,2200
April,Chennai,0,0,11500,0,5400,6300,0,0,0,0,0,0,0,0,0,8500,0,0,6500,0,14500,3200,3200,15000,2800,2500
April,Dehradun,0,2400,3200,2200,0,3000,1500,0,0,0,0,0,0,0,0,3000,0,0,0,5000,0,1550,0,5000,1500,1400
April,Hyderabad,0,0,2800,4000,2500,2000,3300,0,0,0,0,0,0,0,0,2300,0,0,0,0,5000,1400,1500,2500,2000,2100
April,Jammu,0,0,3500,11500,7800,7500,0,0,0,0,0,0,0,0,0,5500,0,0,0,11500,0,4300,4300,11000,0,3300
April,Kolkata,0,0,9650,0,6100,7000,5600,0,0,6900,0,0,6900,0,0,0,0,5000,0,11000,11000,3300,1775,10750,4800,1900
April,Lucknow,0,0,7150,6825,4600,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,2500,1800,5700,0,2500
April,Mumbai,0,0,3000,6750,6000,5250,3000,0,0,0,0,1700,0,0,0,5000,4000,0,0,0,0,1500,3500,9500,2500,2600
April,Nagpur,0,0,2250,0,3500,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,3500,9000,0,1250
April,Patna,0,0,0,10500,6000,7250,0,0,0,0,0,0,0,0,0,0,0,0,0,12750,0,3650,0,9000,0,2900
April,Ranchi,0,0,4000,0,4100,5500,0,0,0,6500,0,0,0,0,0,0,0,0,0,8700,0,2600,3500,10000,4000,2800
